Provider State,DRG Definition,Provider Id,Average Total Payments,Average Covered Charges,Average Medicare Payments,Total Discharges
AK,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",1,133282.62,575748.46,132010.15,13.0
AK,025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,1,43356.72,155684.83,38916.89,18.0
AK,038 - EXTRACRANIAL PROCEDURES W CC,1,15336.0,93951.86,14416.0,14.0
AK,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,2,9939.755,59124.399999999994,7997.96,34.5
AK,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,3,19665.853333333333,77829.3,14950.970000000001,25.666666666666668
AK,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,5,12096.284,52267.604,10674.52,31.8
AK,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,1,7433.96,40033.72,5849.44,25.0
AK,069 - TRANSIENT ISCHEMIA,1,8237.62,37973.38,5998.0,13.0
AK,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,1,7391.36,40071.82,6065.18,11.0
AK,092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,1,8739.83,45170.25,7342.5,12.0
AK,100 - SEIZURES W MCC,1,18898.77,108048.0,17913.23,13.0
AK,101 - SEIZURES W/O MCC,2,8721.08,40952.285,6569.365,21.5
AK,175 - PULMONARY EMBOLISM W MCC,2,14608.945,63565.905,13712.715,11.5
AK,176 - PULMONARY EMBOLISM W/O MCC,1,8890.43,38427.43,7628.14,14.0
AK,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,3,18521.086666666666,90022.87,17606.446666666667,23.0
AK,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,5,15756.384,59698.498,13366.535999999998,43.2
AK,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,5,13223.210000000001,53707.39599999999,12066.27,27.0
AK,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,4,12526.810000000001,43151.6475,11460.325,19.0
AK,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,2,11427.045,21768.72,10489.045,11.5
