Provider State,DRG Definition,Provider Id, Average Total Payments , Average Covered Charges ,Average Medicare Payments, Total Discharges 
AK,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,1,8401.95,34805.13,6413.78,23
AK,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,1,8799,31858.54,8081.54,11
AK,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,2,21608.01,42453.81,20555.255,22.5
AK,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,6,12555.54833,32629.37,11140.96333,25.33333333
AK,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,4,9275.8675,25843.3225,8258.4275,21
AK,069 - TRANSIENT ISCHEMIA,2,7755.285,19266.295,6904.855,15.5
AK,101 - SEIZURES W/O MCC,2,7682.735,23156.085,5942.06,19.5
AK,176 - PULMONARY EMBOLISM W/O MCC,1,10349.5,35672.65,7460.65,26
AK,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,2,16333.21,61224.635,15395.45,14.5
AK,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,3,16897.19667,43348.45333,15153.00333,19
AK,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,3,11854.95333,45137.09333,10847.55667,24
AK,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,7,13414.71429,33169.69143,12098.16571,23.28571429
AK,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,6,10634.00167,21070.21167,9896.496667,25.66666667
AK,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,6,8089.003333,17648.645,7140.095,21.83333333
AK,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,6,16028.17667,46590.77333,15216.81167,18.33333333
AK,194 - SIMPLE PNEUMONIA & PLEURISY W CC,8,10842.98375,23996.695,9782.75625,40
AK,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,6,7617.95,17993.745,6427.3,21
AK,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,2,54385.475,113745.59,53626.06,14
AK,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,3,26863.5,62583.76,26081.96333,18.66666667
AK,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,2,29606.1,99189.655,21375.58,15
AK,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,1,23134.48,78937.48,22246.48,33
AK,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,1,17493.17,55813.77,16565.38,57
AK,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,1,30857.32,119404.16,29916.72,37
AK,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,4,21457.6225,89574.9325,19045.8775,32.75
AK,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,1,18597.3,87011.14,15536.03,63
AK,252 - OTHER VASCULAR PROCEDURES W MCC,1,29749.61,90891.15,29145,13
AK,253 - OTHER VASCULAR PROCEDURES W CC,1,22204.9,81205.9,20995.63,11
AK,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",1,18814.36,79674.45,17868.22,22
AK,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",1,10424.7,38210.11,9637,17
AK,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",1,6906.33,27804.66,6062.66,12
AK,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",1,17147.38,66196.38,16336.94,18
AK,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",4,13095.9125,47509.6775,9159.885,35.75
AK,291 - HEART FAILURE & SHOCK W MCC,5,16643.99,45689.538,15735.226,22.2
AK,292 - HEART FAILURE & SHOCK W CC,7,11872.30143,30353.09714,10084.15714,31
AK,293 - HEART FAILURE & SHOCK W/O CC/MCC,4,7000.005,19227.635,6145.2825,15.25
AK,300 - PERIPHERAL VASCULAR DISORDERS W CC,1,8278.08,43500.25,7439.66,12
AK,303 - ATHEROSCLEROSIS W/O MCC,1,5005.41,22398.41,4347.75,12
AK,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,1,10800.52,30533.68,9230.21,19
AK,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,5,9755.178,21560.586,7919.032,20.2
AK,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,5,6975.18,18490.328,4811.928,27
AK,312 - SYNCOPE & COLLAPSE,2,6714.735,24065.75,5763.605,28
