Provider State,DRG Definition,Provider Id,Average Total Payments,Average Covered Charges,Average Medicare Payments,Total Discharges
AK,"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",1,205621,775057.67,203667.67,12
AK,"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",1,144232.36,443771.55,143577.73,11
AK,038 - EXTRACRANIAL PROCEDURES W CC,1,13833.75,55389.2,11533.75,20
AK,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,2,9593.24,44797.075,8581.485,31.5
AK,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,4,19623.43,64066.825,18581.12,21.25
AK,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,5,13059.926,50295.696,11089.25,31
AK,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,2,7989.48,38183.585,6808.055,27
AK,069 - TRANSIENT ISCHEMIA,1,8795.25,27771.92,5764.75,12
AK,100 - SEIZURES W MCC,1,17572.69,95874,16389.31,13
AK,101 - SEIZURES W/O MCC,2,8517.31,28985.19,6745.605,14
AK,163 - MAJOR CHEST PROCEDURES W MCC,1,50515.23,203594.15,49361.31,13
AK,164 - MAJOR CHEST PROCEDURES W CC,1,32837.18,181591,31369.18,11
AK,176 - PULMONARY EMBOLISM W/O MCC,1,9970,48746.92,9168,12
AK,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,2,17834.94,68002.905,16746.865,14
AK,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,2,15326.86,57902.845,14383.88,18.5
AK,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,3,11944.94667,58780.68333,10482.00333,23.33333333
AK,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,6,12534.32667,36535.96167,11498.55167,23
AK,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,3,10718.42667,33496.46,9680.49,28.66666667
AK,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,3,9074.38,32149.25667,7421.85,14
