Provider State,DRG Definition,Provider Id,Average Total Payments,Average Covered Charges,Average Medicare Payments,Total Discharges
AK,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,1,8059.76,41744.66,6943.97,38
AK,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,1,8999.38,57054.13,7763.38,16
AK,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,3,19708.66333,70520.57,18080.92667,24.33333333
AK,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,5,12146.066,41912.422,10644.166,28.6
AK,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,2,8910.54,26798.175,7588.295,29.5
AK,069 - TRANSIENT ISCHEMIA,1,6699.42,31123.42,5676.63,19
AK,101 - SEIZURES W/O MCC,2,8629.53,29078.175,5717.73,16.5
AK,176 - PULMONARY EMBOLISM W/O MCC,1,9396.28,30932.33,8328.22,18
AK,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,2,19613.415,73142.825,18264.675,17
AK,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,2,16743.69,65192.015,15279.16,15
AK,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,6,13690.95,36093.15333,11884.89,17.5
AK,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,5,11922.194,37741.046,10927.656,26.8
AK,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,4,11226.54,30310.135,9532.99,29.25
AK,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,3,7690.833333,24938.38333,6466.426667,24.33333333
AK,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,3,17551.8,44787.27667,14986.45667,28.33333333
AK,194 - SIMPLE PNEUMONIA & PLEURISY W CC,7,11493.25857,26349.08714,9857.007143,32.71428571
AK,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,5,7115.178,22686.468,5992.66,21
AK,202 - BRONCHITIS & ASTHMA W CC/MCC,1,7888.83,32046.17,6626,12
AK,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,1,85931.27,228112.6,43344.13,15
AK,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,3,26630.05667,95301.91,23218.23,16.66666667
AK,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,2,34831.205,141444.975,27852.41,21.5
AK,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,1,25432.8,103089.2,24318,25
AK,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,1,21387.41,90392.45,19378.86,29
AK,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,2,35568.86,153029.395,27992.565,26.5
AK,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,4,22261.0975,90608.595,18007.5525,38.75
AK,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,1,27120.89,145204.03,23980.16,37
AK,252 - OTHER VASCULAR PROCEDURES W MCC,1,38653.81,163769,37360.25,16
AK,253 - OTHER VASCULAR PROCEDURES W CC,1,24489.87,112336.04,23677.43,23
AK,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",2,22354.425,64896.155,20862.27,18.5
AK,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",1,9933,47626.41,8922.14,22
AK,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",1,8106.65,33800.65,6589.47,17
AK,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",1,18602.89,78197.5,17420.33,18
AK,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",3,12733.37667,52917.7,10076.87667,21.33333333
AK,291 - HEART FAILURE & SHOCK W MCC,4,15716.765,48520.425,14836.6725,28.25
AK,292 - HEART FAILURE & SHOCK W CC,5,11888.298,33288.662,9409.452,30.4
AK,293 - HEART FAILURE & SHOCK W/O CC/MCC,3,6684.536667,27408.46333,5312.22,14.66666667
AK,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,4,12514.845,43792.485,11220.7325,17.5
AK,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,3,7992.09,25678.9,6493.756667,20.66666667
AK,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,5,6060.708,18985.116,4928.458,21.8
AK,312 - SYNCOPE & COLLAPSE,2,7026.86,35246.91,6011.885,16.5
AK,313 - CHEST PAIN,1,6239.05,24701.32,3493.79,19
AK,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,1,21652.33,91272.72,20577.33,18
AK,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,1,8612.5,48946.07,7652.14,14
AK,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,3,62388.21,119176.2633,61083.13,17.33333333
AK,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,4,27456.015,89371.45,24808.22,17.75
AK,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,3,17709.30667,62073.82667,15644.03,12.66666667
AK,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,1,11044.82,42189.18,9903.27,11
AK,377 - G.I. HEMORRHAGE W MCC,2,18906.18,74809.735,14517.575,23.5
AK,378 - G.I. HEMORRHAGE W CC,7,11274.83143,31640.76143,9596.022857,27.57142857
AK,389 - G.I. OBSTRUCTION W CC,3,11023.4,25147.48,9982.906667,14
AK,390 - G.I. OBSTRUCTION W/O CC/MCC,2,9179.025,26528.21,5862.705,12
AK,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",1,10842.28,48183.61,9809.22,18
AK,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",6,7811.65,22920.53333,6529.255,26.83333333
AK,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,2,11180.445,31649.3,9573.91,13
AK,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,1,9004.24,35392.76,7374.71,17
AK,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,3,41548,127092.0367,35766.16,38.66666667
AK,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,2,28364.37,109974.85,24651.605,23
AK,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,7,22315.98714,66056.55,19692.75857,98.85714286
AK,473 - CERVICAL SPINAL FUSION W/O CC/MCC,2,21069.34,77860.055,15108.8,36.5
AK,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,1,36447.55,62456.09,35381.36,11
AK,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,4,20948.07,64828.6775,19692.205,21.5
AK,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,2,17611.5,54707.76,15299.535,13
AK,484 - MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W/O CC/MCC,2,21615.35,73799.605,14979.095,20
AK,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,3,10573.14667,40091.31667,8825.813333,20
AK,552 - MEDICAL BACK PROBLEMS W/O MCC,2,7228.8,35385.895,6052.31,16
AK,603 - CELLULITIS W/O MCC,5,11062.242,32784.996,9510.444,20.2
AK,637 - DIABETES W MCC,1,25415.91,103164.45,19971.45,11
AK,638 - DIABETES W CC,1,7475.8,34232.33,6555.87,15
AK,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",1,9982.85,34734.73,9086.85,26
AK,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",4,6857.8,27117.195,5955.635,26.25
AK,682 - RENAL FAILURE W MCC,4,18933.5475,45237.1225,17052.57,19.5
AK,683 - RENAL FAILURE W CC,5,10486.566,30388.3,9562.38,29.6
AK,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,3,15517.76667,52953.86333,13571.83333,13
