"Hospital.Name","Provider.ID","Address","City","State","ZIP.Code","Full","lon","lat"
"UNIVERSITY OF ALABAMA HOSPITAL",10033,"619 SOUTH 19TH STREET","BIRMINGHAM","AL",35233,"619 SOUTH 19TH STREET, BIRMINGHAM, AL, 35233, USA",-86.801871,33.506161
"MAYO CLINIC HOSPITAL",30103,"5777 EAST MAYO BOULEVARD","PHOENIX","AZ",85054,"5777 EAST MAYO BOULEVARD, PHOENIX, AZ, 85054, USA",-111.955709,33.663468
"BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK",40114,"9601 INTERSTATE 630, EXIT 7","LITTLE ROCK","AR",72205,"9601 INTERSTATE 630, EXIT 7, LITTLE ROCK, AR, 72205, USA",-92.327475,34.748661
"UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR",50025,"200 WEST ARBOR DRIVE","SAN DIEGO","CA",92103,"200 WEST ARBOR DRIVE, SAN DIEGO, CA, 92103, USA",-117.164978,32.753785
"SHARP MEMORIAL HOSPITAL",50100,"7901 FROST ST","SAN DIEGO","CA",92123,"7901 FROST ST, SAN DIEGO, CA, 92123, USA",-117.154051,32.800252
"SUTTER MEDICAL CENTER, SACRAMENTO",50108,"2825 CAPITOL AVENUE","SACRAMENTO","CA",95816,"2825 CAPITOL AVENUE, SACRAMENTO, CA, 95816, USA",-121.470374,38.5705
"RONALD REAGAN U C L A MEDICAL CENTER",50262,"757 WESTWOOD PLAZA","LOS ANGELES","CA",90095,"757 WESTWOOD PLAZA, LOS ANGELES, CA, 90095, USA",-118.444988,34.069511
"STANFORD HEALTH CARE",50441,"300 PASTEUR DRIVE","STANFORD","CA",94305,"300 PASTEUR DRIVE, STANFORD, CA, 94305, USA",-122.17649,37.433659
"UCSF MEDICAL CENTER",50454,"505 PARNASSUS AVE, BOX 0296","SAN FRANCISCO","CA",94143,"505 PARNASSUS AVE, BOX 0296, SAN FRANCISCO, CA, 94143, USA",-122.458582,37.76313
"CEDARS-SINAI MEDICAL CENTER",50625,"8700 BEVERLY BLVD","LOS ANGELES","CA",90048,"8700 BEVERLY BLVD, LOS ANGELES, CA, 90048, USA",-118.381142,34.076922
"UNIVERSITY OF COLORADO HOSPITAL AUTHORITY",60024,"12605 EAST 16TH AVENUE","AURORA","CO",80045,"12605 EAST 16TH AVENUE, AURORA, CO, 80045, USA",-104.84214,39.741437
"YALE-NEW HAVEN HOSPITAL",70022,"20 YORK ST","NEW HAVEN","CT",6504,"20 YORK ST, NEW HAVEN, CT, 6504, USA",-82.877154,42.598739
"HARTFORD HOSPITAL",70025,"80 SEYMOUR STREET","HARTFORD","CT",6102,"80 SEYMOUR STREET, HARTFORD, CT, 6102, USA",-83.203782,37.289182
"MEDSTAR WASHINGTON HOSPITAL CENTER",90011,"110 IRVING ST NW","WASHINGTON","DC",20010,"110 IRVING ST NW, WASHINGTON, DC, 20010, USA",-77.015459,38.930977
"FLORIDA HOSPITAL",100007,"601 E ROLLINS ST","ORLANDO","FL",32803,"601 E ROLLINS ST, ORLANDO, FL, 32803, USA",-81.371099,28.574096
"JACKSON MEMORIAL HOSPITAL",100022,"1611 NW 12TH AVE","MIAMI","FL",33136,"1611 NW 12TH AVE, MIAMI, FL, 33136, USA",-80.21497,25.790555
"UF HEALTH SHANDS HOSPITAL",100113,"1600 SW ARCHER RD","GAINESVILLE","FL",32610,"1600 SW ARCHER RD, GAINESVILLE, FL, 32610, USA",-82.343355,29.639229
"TAMPA GENERAL HOSPITAL",100128,"1 TAMPA GENERAL CIR","TAMPA","FL",33606,"1 TAMPA GENERAL CIR, TAMPA, FL, 33606, USA",-82.457766,27.945158
"MAYO CLINIC",100151,"4500 SAN PABLO RD","JACKSONVILLE","FL",32224,"4500 SAN PABLO RD, JACKSONVILLE, FL, 32224, USA",-81.437685,30.287929
"EMORY UNIVERSITY HOSPITAL",110010,"1364 CLIFTON ROAD, NE","ATLANTA","GA",30322,"1364 CLIFTON ROAD, NE, ATLANTA, GA, 30322, USA",-84.320938,33.791955
"PIEDMONT HOSPITAL",110083,"1968 PEACHTREE RD NW","ATLANTA","GA",30309,"1968 PEACHTREE RD NW, ATLANTA, GA, 30309, USA",-84.392523,33.809028
"THE UNIVERSITY OF CHICAGO MEDICAL CENTER",140088,"5841 SOUTH MARYLAND","CHICAGO","IL",60637,"5841 SOUTH MARYLAND, CHICAGO, IL, 60637, USA",-87.604882,41.788784
"ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER",140208,"4440 W 95TH STREET","OAK LAWN","IL",60453,"4440 W 95TH STREET, OAK LAWN, IL, 60453, USA",-87.732298,41.720241
"LOYOLA UNIVERSITY MEDICAL CENTER",140276,"2160 S 1ST AVENUE","MAYWOOD","IL",60153,"2160 S 1ST AVENUE, MAYWOOD, IL, 60153, USA",-87.833455,41.865155
"NORTHWESTERN MEMORIAL HOSPITAL",140281,"251 E HURON ST","CHICAGO","IL",60611,"251 E HURON ST, CHICAGO, IL, 60611, USA",-87.621707,41.894927
"ST VINCENT HOSPITAL & HEALTH SERVICES",150084,"2001 W 86TH ST","INDIANAPOLIS","IN",46260,"2001 W 86TH ST, INDIANAPOLIS, IN, 46260, USA",-86.196371,39.912034
"UNIVERSITY OF IOWA HOSPITAL & CLINICS",160058,"200 HAWKINS DRIVE","IOWA CITY","IA",52242,"200 HAWKINS DRIVE, IOWA CITY, IA, 52242, USA",-91.549849,41.657289
